Gene,Protein,Description,p_Value,Log2FC
Aldh3a2,AL3A2_MOUSE|P47740,Fatty aldehyde dehydrogenase,3.41E-02,4.35E-01
Aldh3b1,AL3B1_MOUSE|Q80VQ0,Aldehyde dehydrogenase family 3 member B1,1.66E-01,3.36E-01
Aldh4a1,AL4A1_MOUSE|Q8CHT0,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",7.93E-02,3.46E-01
Aldh7a1,AL7A1_MOUSE|Q9DBF1,Alpha-aminoadipic semialdehyde dehydrogenase,3.47E-02,4.81E-01
Aldh9a1,AL9A1_MOUSE|Q9JLJ2,4-trimethylaminobutyraldehyde dehydrogenase,1.76E-02,4.92E-01
Gpt,ALAT1_MOUSE|Q8QZR5,Alanine aminotransferase 1,1.08E-02,7.05E-01
Gpt2,ALAT2_MOUSE|Q8BGT5,Alanine aminotransferase 2,3.80E-02,2.68E-01
Alb,ALBU_MOUSE|P07724,Serum albumin,3.76E-01,2.87E-01
Aldh2,ALDH2_MOUSE|P47738,"Aldehyde dehydrogenase, mitochondrial",3.88E-02,5.44E-01
Aldoa,ALDOA_MOUSE|P05064,Fructose-bisphosphate aldolase A,6.20E-03,5.17E-01
Aldoc,ALDOC_MOUSE|P05063,Fructose-bisphosphate aldolase C,4.78E-02,4.96E-01
Akr1b1,ALDR_MOUSE|P45376,Aldose reductase,7.72E-02,3.64E-01
Alg2,ALG2_MOUSE|Q9DBE8,"Alpha-1,3/1,6-mannosyltransferase ALG2",1.47E-02,5.96E-01
Alg5,ALG5_MOUSE|Q9DB25,Dolichyl-phosphate beta-glucosyltransferase,9.18E-04,5.41E-01
Alms1,ALMS1_MOUSE|Q8K4E0,Alstrom syndrome protein 1 homolog,1.60E-03,1.32E+00
Alyref2,ALRF2_MOUSE|Q9JJW6,Aly/REF export factor 2,9.14E-01,-8.37E-04
Amacr,AMACR_MOUSE|O09174,Alpha-methylacyl-CoA racemase,8.52E-02,2.37E-01
Pam,AMD_MOUSE|P97467,Peptidyl-glycine alpha-amidating monooxygenase,5.70E-01,1.30E-01
Amer2,AMER2_MOUSE|Q8CCJ4,APC membrane recruitment protein 2,6.03E-04,1.43E+00
Amfr,AMFR_MOUSE|Q9R049,E3 ubiquitin-protein ligase AMFR,4.91E-01,1.65E-01
Amigo1,AMGO1_MOUSE|Q80ZD8,Amphoterin-induced protein 1,5.46E-02,4.31E-01
Amotl1,AMOL1_MOUSE|Q9D4H4,Angiomotin-like protein 1,1.59E-04,2.04E+00
Rnpep,AMPB_MOUSE|Q8VCT3,Aminopeptidase B,4.37E-02,4.80E-01
Ampd2,AMPD2_MOUSE|Q9DBT5,AMP deaminase 2,5.49E-04,9.80E-01
Ampd3,AMPD3_MOUSE|O08739,AMP deaminase 3,4.69E-04,9.18E-01
Amph,AMPH_MOUSE|Q7TQF7,Amphiphysin,8.43E-04,1.34E+00
Lap3,AMPL_MOUSE|Q9CPY7,Cytosol aminopeptidase,2.09E-01,2.73E-01
Ankrd13d,AN13D_MOUSE|Q6PD24,Ankyrin repeat domain-containing protein 13D,6.65E-05,1.55E+00
Anp32a,AN32A_MOUSE|O35381,Acidic leucine-rich nuclear phosphoprotein 32 family member A,2.33E-03,6.48E-01
Anp32b,AN32B_MOUSE|Q9EST5,Acidic leucine-rich nuclear phosphoprotein 32 family member B,5.69E-02,4.77E-01
Anp32e,AN32E_MOUSE|P97822,Acidic leucine-rich nuclear phosphoprotein 32 family member E,5.65E-01,6.11E-02
Ankrd34b,AN34B_MOUSE|Q3UUF8,Ankyrin repeat domain-containing protein 34B,5.19E-04,1.73E+00
Ankrd34c,AN34C_MOUSE|Q8BLB8,Ankyrin repeat domain-containing protein 34C,1.49E-03,1.26E+00
Zfyve19,ANCHR_MOUSE|Q9DAZ9,Abscission/NoCut checkpoint regulator,4.82E-04,1.57E+00
Ankfy1,ANFY1_MOUSE|Q810B6,Rabankyrin-5,1.78E-03,5.57E-01
Ank1,ANK1_MOUSE|Q02357,Ankyrin-1,2.60E-04,1.74E+00
Ank2,ANK2_MOUSE|Q8C8R3,Ankyrin-2,5.52E-04,1.34E+00
Ank2,ANK2_MOUSE|Q8C8R3-2,Ankyrin-2 (isoform 2),5.18E-04,1.21E+00
Ank2,ANK2_MOUSE|Q8C8R3-3,Ankyrin-2 (isoform 3),3.65E-04,1.38E+00
Ank2,ANK2_MOUSE|Q8C8R3-7,Ankyrin-2 (isoform 7),3.93E-03,8.14E-01
Ank3,ANK3_MOUSE|G5E8K5,Ankyrin-3,4.52E-04,1.54E+00
Ankle2,ANKL2_MOUSE|Q6P1H6,Ankyrin repeat and LEM domain-containing protein 2,7.61E-04,1.22E+00
Ankmy2,ANKY2_MOUSE|Q3TPE9,Ankyrin repeat and MYND domain-containing protein 2,9.49E-03,6.73E-01
Anln,ANLN_MOUSE|Q8K298,Actin-binding protein anillin,4.52E-01,1.15E-01
Prmt1,ANM1_MOUSE|Q9JIF0,Protein arginine N-methyltransferase 1,2.46E-01,1.67E-01
Prmt5,ANM5_MOUSE|Q8CIG8,Protein arginine N-methyltransferase 5,1.17E-02,3.76E-01
Prmt8,ANM8_MOUSE|Q6PAK3,Protein arginine N-methyltransferase 8,2.07E-02,5.23E-01
Ano10,ANO10_MOUSE|Q8BH79,Anoctamin-10,8.98E-03,3.72E-01
Ano8,ANO8_MOUSE|Q6PB70,Anoctamin-8,4.70E-04,1.15E+00
Ankrd17,ANR17_MOUSE|Q99NH0,Ankyrin repeat domain-containing protein 17,4.18E-03,1.06E+00
Ankrd28,ANR28_MOUSE|Q505D1,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,1.19E-03,6.65E-01
Ankrd40,ANR40_MOUSE|Q5SUE8,Ankyrin repeat domain-containing protein 40,5.43E-04,1.62E+00
Ankrd63,ANR63_MOUSE|A2ARS0,Ankyrin repeat domain-containing protein 63,5.90E-04,9.60E-01
Anks1a,ANS1A_MOUSE|P59672,Ankyrin repeat and SAM domain-containing protein 1A,1.78E-02,7.36E-01
Anks1b,ANS1B_MOUSE|Q8BIZ1,Ankyrin repeat and sterile alpha motif domain-containing protein 1B,4.88E-04,1.06E+00
Anks1b,ANS1B_MOUSE|Q8BIZ1-3,Ankyrin repeat and sterile alpha motif domain-containing protein 1B (isoform 3),2.67E-03,6.35E-01
Serpinc1,ANT3_MOUSE|P32261,Antithrombin-III,2.95E-02,-2.48E-01
Anxa11,ANX11_MOUSE|P97384,Annexin A11,1.29E-01,4.12E-01
Anxa1,ANXA1_MOUSE|P10107,Annexin A1,4.91E-02,-1.09E-01
Anxa2,ANXA2_MOUSE|P07356,Annexin A2,8.67E-02,1.38E-01
Anxa3,ANXA3_MOUSE|O35639,Annexin A3,3.31E-01,1.47E-01
Anxa4,ANXA4_MOUSE|P97429,Annexin A4,3.50E-02,2.69E-01
Anxa5,ANXA5_MOUSE|P48036,Annexin A5,1.71E-01,1.42E-01
Anxa6,ANXA6_MOUSE|P14824,Annexin A6,6.23E-03,4.08E-01
Anxa7,ANXA7_MOUSE|Q07076,Annexin A7,1.04E-01,3.90E-01
Anxa8,ANXA8_MOUSE|O35640,Annexin A8,8.20E-01,-2.65E-03
Maoa,AOFA_MOUSE|Q64133,Amine oxidase [flavin-containing] A,3.67E-02,6.09E-01
Maob,AOFB_MOUSE|Q8BW75,Amine oxidase [flavin-containing] B,2.92E-02,4.62E-01
Snap91,AP180_MOUSE|Q61548,Clathrin coat assembly protein AP180,6.66E-04,1.19E+00
Ap1b1,AP1B1_MOUSE|O35643,AP-1 complex subunit beta-1,4.84E-03,5.42E-01
Ap1g1,AP1G1_MOUSE|P22892,AP-1 complex subunit gamma-1,4.07E-03,6.23E-01
Ap1m1,AP1M1_MOUSE|P35585,AP-1 complex subunit mu-1,5.81E-02,4.46E-01
Ap1s1,AP1S1_MOUSE|P61967,AP-1 complex subunit sigma-1A,1.49E-01,2.79E-01
Ap1s2,AP1S2_MOUSE|Q9DB50,AP-1 complex subunit sigma-2,1.16E-01,4.34E-01
Ap2a1,AP2A1_MOUSE|P17426,AP-2 complex subunit alpha-1,2.60E-03,6.41E-01
Ap2a2,AP2A2_MOUSE|P17427,AP-2 complex subunit alpha-2,2.59E-03,7.02E-01
Ap2b1,AP2B1_MOUSE|Q9DBG3,AP-2 complex subunit beta,5.17E-03,5.39E-01
Ap2m1,AP2M1_MOUSE|P84091,AP-2 complex subunit mu,2.38E-02,5.76E-01
Ap2s1,AP2S1_MOUSE|P62743,AP-2 complex subunit sigma,7.43E-02,5.27E-01
Ap3b1,AP3B1_MOUSE|Q9Z1T1,AP-3 complex subunit beta-1,9.05E-04,8.83E-01
Ap3b2,AP3B2_MOUSE|Q9JME5,AP-3 complex subunit beta-2,1.07E-03,9.92E-01
Ap3d1,AP3D1_MOUSE|O54774,AP-3 complex subunit delta-1,9.38E-04,8.09E-01
Ap3m1,AP3M1_MOUSE|Q9JKC8,AP-3 complex subunit mu-1,5.87E-02,4.46E-01
Ap3m2,AP3M2_MOUSE|Q8R2R9,AP-3 complex subunit mu-2,4.56E-02,4.94E-01
Ap3s1,AP3S1_MOUSE|Q9DCR2,AP-3 complex subunit sigma-1,3.75E-03,6.68E-01
Ap3s2,AP3S2_MOUSE|Q8BSZ2,AP-3 complex subunit sigma-2,8.92E-02,3.40E-01
Nudt2,AP4A_MOUSE|P56380,Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical],5.64E-03,4.12E-01
Apba1,APBA1_MOUSE|B2RUJ5,Amyloid beta A4 precursor protein-binding family A member 1,3.76E-03,8.04E-01
Apba2,APBA2_MOUSE|P98084,Amyloid beta A4 precursor protein-binding family A member 2,6.43E-02,2.65E-01
Apbb1,APBB1_MOUSE|Q9QXJ1,Amyloid beta A4 precursor protein-binding family B member 1,7.43E-03,1.36E+00
Apc,APC_MOUSE|Q61315,Adenomatous polyposis coli protein,1.10E-03,1.52E+00
Anapc1,APC1_MOUSE|P53995,Anaphase-promoting complex subunit 1,9.50E-04,7.55E-01
Apeh,APEH_MOUSE|Q8R146,Acylamino-acid-releasing enzyme,8.13E-01,-7.45E-02
Apex1,APEX1_MOUSE|P28352,DNA-(apurinic or apyrimidinic site) lyase,7.34E-02,3.18E-01
Api5,API5_MOUSE|O35841,Apoptosis inhibitor 5,1.76E-03,3.92E-01
Aplp1,APLP1_MOUSE|Q03157,Amyloid-like protein 1,9.20E-01,-3.81E-02
Apmap,APMAP_MOUSE|Q9D7N9,Adipocyte plasma membrane-associated protein,1.02E-01,4.13E-01
Apoa1,APOA1_MOUSE|Q00623,Apolipoprotein A-I,2.29E-02,-3.17E-01
Apod,APOD_MOUSE|P51910,Apolipoprotein D,3.24E-01,-8.92E-01
Apoh,APOH_MOUSE|Q01339,Beta-2-glycoprotein 1,5.89E-03,-2.08E-01
Aprt,APT_MOUSE|P08030,Adenine phosphoribosyltransferase,7.69E-01,-2.20E-02
Arl6ip1,AR6P1_MOUSE|Q9JKW0,ADP-ribosylation factor-like protein 6-interacting protein 1,2.22E-01,2.56E-01
Arl6ip4,AR6P4_MOUSE|Q9JM93,ADP-ribosylation factor-like protein 6-interacting protein 4,3.43E-03,6.70E-01
Araf,ARAF_MOUSE|P04627,Serine/threonine-protein kinase A-Raf,6.19E-04,1.12E+00
Arap1,ARAP1_MOUSE|Q4LDD4,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1",2.70E-01,1.20E-01
Arap2,ARAP2_MOUSE|Q8BZ05,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 2",3.22E-03,9.13E-01
Adrbk1,ARBK1_MOUSE|Q99MK8,Beta-adrenergic receptor kinase 1,8.53E-04,1.16E+00
Arpc1a,ARC1A_MOUSE|Q9R0Q6,Actin-related protein 2/3 complex subunit 1A,9.41E-04,6.30E-01
Arpc1b,ARC1B_MOUSE|Q9WV32,Actin-related protein 2/3 complex subunit 1B,8.93E-01,-4.47E-02
Arf1,ARF1_MOUSE|P84078,ADP-ribosylation factor 1,1.76E-01,4.66E-01
Arf4,ARF4_MOUSE|P61750,ADP-ribosylation factor 4,2.39E-01,3.40E-01
Arf5,ARF5_MOUSE|P84084,ADP-ribosylation factor 5,3.07E-01,3.63E-01
Arf6,ARF6_MOUSE|P62331,ADP-ribosylation factor 6,1.67E-01,2.80E-01
Arfgap1,ARFG1_MOUSE|Q9EPJ9,ADP-ribosylation factor GTPase-activating protein 1,1.17E-03,1.04E+00
Arfgap2,ARFG2_MOUSE|Q99K28,ADP-ribosylation factor GTPase-activating protein 2,5.43E-04,1.38E+00
Arfgap3,ARFG3_MOUSE|Q9D8S3,ADP-ribosylation factor GTPase-activating protein 3,6.78E-04,1.31E+00
Arfip2,ARFP2_MOUSE|Q8K221,Arfaptin-2,5.69E-04,1.37E+00
Arhgef10l,ARGAL_MOUSE|A2AWP8,Rho guanine nucleotide exchange factor 10-like protein,7.72E-04,9.95E-01
Arg1,ARGI1_MOUSE|Q61176,Arginase-1,6.96E-01,-5.53E-01
Arglu1,ARGL1_MOUSE|Q3UL36,Arginine and glutamate-rich protein 1,1.60E-01,1.62E-01
Arhgef1,ARHG1_MOUSE|Q61210,Rho guanine nucleotide exchange factor 1,5.38E-02,3.24E-01
Arhgef2,ARHG2_MOUSE|Q60875,Rho guanine nucleotide exchange factor 2,6.92E-03,5.14E-01
Arhgef6,ARHG6_MOUSE|Q8K4I3,Rho guanine nucleotide exchange factor 6,6.11E-04,1.10E+00
Arhgef7,ARHG7_MOUSE|Q9ES28,Rho guanine nucleotide exchange factor 7,6.05E-04,1.15E+00
Arhgef9,ARHG9_MOUSE|Q3UTH8,Rho guanine nucleotide exchange factor 9,2.06E-03,8.10E-01
Arhgef10,ARHGA_MOUSE|Q8C033,Rho guanine nucleotide exchange factor 10,7.34E-03,4.02E-01
Arhgef12,ARHGC_MOUSE|Q8R4H2,Rho guanine nucleotide exchange factor 12,8.21E-04,9.43E-01
Arhgef17,ARHGH_MOUSE|Q80U35,Rho guanine nucleotide exchange factor 17,2.20E-03,5.76E-01
Arhgef18,ARHGI_MOUSE|Q6P9R4,Rho guanine nucleotide exchange factor 18,7.81E-04,1.06E+00
Arhgef25,ARHGP_MOUSE|Q9CWR0,Rho guanine nucleotide exchange factor 25,2.17E-03,1.04E+00
Arih1,ARI1_MOUSE|Q9Z1K5,E3 ubiquitin-protein ligase ARIH1,6.18E-04,6.46E-01
Arid1a,ARI1A_MOUSE|A2BH40,AT-rich interactive domain-containing protein 1A,1.62E-03,1.27E+00
Akr7a2,ARK72_MOUSE|Q8CG76,Aflatoxin B1 aldehyde reductase member 2,7.63E-02,3.10E-01
Arl1,ARL1_MOUSE|P61211,ADP-ribosylation factor-like protein 1,5.04E-02,3.36E-01
Arl2,ARL2_MOUSE|Q9D0J4,ADP-ribosylation factor-like protein 2,9.60E-05,7.45E-01
Arl3,ARL3_MOUSE|Q9WUL7,ADP-ribosylation factor-like protein 3,8.25E-03,5.70E-01
Arl4c,ARL4C_MOUSE|P61208,ADP-ribosylation factor-like protein 4C,1.68E-01,4.34E-01
Arl6,ARL6_MOUSE|O88848,ADP-ribosylation factor-like protein 6,4.17E-02,5.23E-01
Arl8a,ARL8A_MOUSE|Q8VEH3,ADP-ribosylation factor-like protein 8A,8.59E-01,3.29E-02
Arl8b,ARL8B_MOUSE|Q9CQW2,ADP-ribosylation factor-like protein 8B,8.52E-01,5.77E-02
Asl,ARLY_MOUSE|Q91YI0,Argininosuccinate lyase,8.40E-02,4.36E-01
Armc10,ARM10_MOUSE|Q9D0L7,Armadillo repeat-containing protein 10,1.23E-01,5.56E-01
Armc1,ARMC1_MOUSE|Q9D7A8,Armadillo repeat-containing protein 1,1.00E-01,3.71E-01
Armc6,ARMC6_MOUSE|Q8BNU0,Armadillo repeat-containing protein 6,7.27E-04,1.17E+00
Armc8,ARMC8_MOUSE|Q9DBR3,Armadillo repeat-containing protein 8,2.50E-02,5.41E-01
NA,ARMT1_MOUSE|A6H630,NA,1.72E-02,6.02E-01
Armcx3,ARMX3_MOUSE|Q8BHS6,Armadillo repeat-containing X-linked protein 3,6.34E-02,4.54E-01
Arnt2,ARNT2_MOUSE|Q61324,Aryl hydrocarbon receptor nuclear translocator 2,1.12E-03,6.86E-01
Actr10,ARP10_MOUSE|Q9QZB7,Actin-related protein 10,1.57E-03,8.44E-01
Arpp19,ARP19_MOUSE|P56212,cAMP-regulated phosphoprotein 19,9.29E-04,1.14E+00
Actr2,ARP2_MOUSE|P61161,Actin-related protein 2,6.12E-02,4.67E-01
Arpp21,ARP21_MOUSE|Q9DCB4,cAMP-regulated phosphoprotein 21,4.09E-03,1.23E+00
Actr3,ARP3_MOUSE|Q99JY9,Actin-related protein 3,5.46E-02,5.01E-01
Actr3b,ARP3B_MOUSE|Q641P0,Actin-related protein 3B,5.81E-02,5.75E-01
Arpc5l,ARP5L_MOUSE|Q9D898,Actin-related protein 2/3 complex subunit 5-like protein,4.05E-03,6.91E-01
Actr6,ARP6_MOUSE|Q9D864,Actin-related protein 6,2.67E-01,2.61E-01
Arpc2,ARPC2_MOUSE|Q9CVB6,Actin-related protein 2/3 complex subunit 2,4.78E-02,4.12E-01
Arpc3,ARPC3_MOUSE|Q9JM76,Actin-related protein 2/3 complex subunit 3,1.62E-01,3.69E-01
Arpc4,ARPC4_MOUSE|P59999,Actin-related protein 2/3 complex subunit 4,1.14E-01,3.96E-01
Arpc5,ARPC5_MOUSE|Q9CPW4,Actin-related protein 2/3 complex subunit 5,3.53E-02,2.97E-01
Arpin,ARPIN_MOUSE|Q9D0A3,Arpin,6.66E-04,1.24E+00
Arrb1,ARRB1_MOUSE|Q8BWG8,Beta-arrestin-1,1.73E-02,5.46E-01
Arrb2,ARRB2_MOUSE|Q91YI4,Beta-arrestin-2,2.53E-02,5.08E-01
NA,ARXS1_MOUSE|C0HK79,NA,4.42E-01,3.22E-01
As3mt,AS3MT_MOUSE|Q91WU5,Arsenite methyltransferase,5.55E-02,3.82E-01
Asah1,ASAH1_MOUSE|Q9WV54,Acid ceramidase,4.96E-01,2.10E-01
Asap1,ASAP1_MOUSE|Q9QWY8,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1",7.45E-04,1.35E+00
Asap2,ASAP2_MOUSE|Q7SIG6,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2",5.62E-04,1.11E+00
Asrgl1,ASGL1_MOUSE|Q8C0M9,Isoaspartyl peptidase/L-asparaginase,2.97E-01,1.28E-01
Ash2l,ASH2L_MOUSE|Q91X20,Set1/Ash2 histone methyltransferase complex subunit ASH2,3.87E-03,4.42E-01
Asna1,ASNA_MOUSE|O54984,ATPase Asna1,5.62E-02,4.82E-01
Asns,ASNS_MOUSE|Q61024,Asparagine synthetase [glutamine-hydrolyzing],1.78E-02,5.48E-01
Aspscr1,ASPC1_MOUSE|Q8VBT9,Tether containing UBX domain for GLUT4,8.01E-04,1.07E+00
Asph,ASPH_MOUSE|Q8BSY0,Aspartyl/asparaginyl beta-hydroxylase,8.09E-01,2.50E-02
Asphd2,ASPH2_MOUSE|Q80VP9,Aspartate beta-hydroxylase domain-containing protein 2,8.86E-02,4.81E-01
Ppp1r13b,ASPP1_MOUSE|Q62415,Apoptosis-stimulating of p53 protein 1,5.30E-04,1.49E+00
Tp53bp2,ASPP2_MOUSE|Q8CG79,Apoptosis-stimulating of p53 protein 2,3.61E-04,1.47E+00
Ass1,ASSY_MOUSE|P16460,Argininosuccinate synthase,1.28E-01,4.22E-01
Astn1,ASTN1_MOUSE|Q61137,Astrotactin-1,1.36E-03,1.13E+00
Astn2,ASTN2_MOUSE|Q80Z10,Astrotactin-2,4.79E-04,1.39E+00
Atp12a,AT12A_MOUSE|Q9Z1W8,Potassium-transporting ATPase alpha chain 2,4.64E-03,4.95E-01
Atp13a1,AT131_MOUSE|Q9EPE9,Manganese-transporting ATPase 13A1,8.91E-04,8.30E-01
Atp1a1,AT1A1_MOUSE|Q8VDN2,Sodium/potassium-transporting ATPase subunit alpha-1,1.86E-03,5.51E-01
Atp1a2,AT1A2_MOUSE|Q6PIE5,Sodium/potassium-transporting ATPase subunit alpha-2,2.46E-03,5.74E-01
Atp1a3,AT1A3_MOUSE|Q6PIC6,Sodium/potassium-transporting ATPase subunit alpha-3,1.75E-03,5.58E-01
Atp1b1,AT1B1_MOUSE|P14094,Sodium/potassium-transporting ATPase subunit beta-1,1.72E-01,3.49E-01
Atp1b2,AT1B2_MOUSE|P14231,Sodium/potassium-transporting ATPase subunit beta-2,5.70E-01,1.82E-01
Atp1b3,AT1B3_MOUSE|P97370,Sodium/potassium-transporting ATPase subunit beta-3,5.44E-01,2.64E-01
Atp2a1,AT2A1_MOUSE|Q8R429,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,1.38E-03,5.76E-01
Atp2a2,AT2A2_MOUSE|O55143,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,7.62E-04,6.41E-01
Atp2a3,AT2A3_MOUSE|Q64518,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,5.38E-01,4.13E-01
Atp2b1,AT2B1_MOUSE|G5E829,Plasma membrane calcium-transporting ATPase 1,8.03E-04,6.70E-01
Atp2b2,AT2B2_MOUSE|Q9R0K7,Plasma membrane calcium-transporting ATPase 2,8.13E-04,6.88E-01
NA,AT2B4_MOUSE|Q6Q477,NA,1.36E-03,6.13E-01
Atp2c1,AT2C1_MOUSE|Q80XR2,Calcium-transporting ATPase type 2C member 1,1.61E-03,7.67E-01
Etnppl,AT2L1_MOUSE|Q8BWU8,Ethanolamine-phosphate phospho-lyase,2.91E-02,5.29E-01
Atp5f1,AT5F1_MOUSE|Q9CQQ7,"ATP synthase F(0) complex subunit B1, mitochondrial",4.25E-02,5.05E-01
Atp5g1,AT5G1_MOUSE|Q9CR84,"ATP synthase F(0) complex subunit C1, mitochondrial",8.12E-01,-1.93E-01
Atp8a1,AT8A1_MOUSE|P70704,Phospholipid-transporting ATPase IA,1.52E-03,5.94E-01
Atp8a2,AT8A2_MOUSE|P98200,Phospholipid-transporting ATPase IB,1.99E-03,5.49E-01
Atad1,ATAD1_MOUSE|Q9D5T0,ATPase family AAA domain-containing protein 1,3.80E-02,4.01E-01
Atad3,ATAD3_MOUSE|Q925I1,ATPase family AAA domain-containing protein 3,1.13E-01,3.71E-01
Atat1,ATAT_MOUSE|Q8K341,Alpha-tubulin N-acetyltransferase 1,1.57E-02,4.88E-01
Atcay,ATCAY_MOUSE|Q8BHE3,Caytaxin,5.65E-03,7.61E-01
Ate1,ATE1_MOUSE|Q9Z2A5,Arginyl-tRNA--protein transferase 1,1.05E-03,1.04E+00
Ate1,ATE1_MOUSE|Q9Z2A5-2,Arginyl-tRNA--protein transferase 1 (isoform 2),6.12E-04,1.10E+00
Atf1,ATF1_MOUSE|P81269,Cyclic AMP-dependent transcription factor ATF-1,9.42E-04,7.75E-01
Atg13,ATG13_MOUSE|Q91YI1,Autophagy-related protein 13,1.36E-03,1.13E+00
Atg2a,ATG2A_MOUSE|Q6P4T0,Autophagy-related protein 2 homolog A,8.81E-04,1.17E+00
Atg2b,ATG2B_MOUSE|Q80XK6,Autophagy-related protein 2 homolog B,4.83E-04,1.53E+00
Atg3,ATG3_MOUSE|Q9CPX6,Ubiquitin-like-conjugating enzyme ATG3,9.72E-04,1.03E+00
Atg4b,ATG4B_MOUSE|Q8BGE6,Cysteine protease ATG4B,3.17E-02,4.78E-01
Atg7,ATG7_MOUSE|Q9D906,Ubiquitin-like modifier-activating enzyme ATG7,3.60E-02,4.48E-01
Atpif1,ATIF1_MOUSE|O35143,"ATPase inhibitor, mitochondrial",3.60E-01,1.47E-01
Atl1,ATLA1_MOUSE|Q8BH66,Atlastin-1,2.42E-02,5.91E-01
Atl2,ATLA2_MOUSE|Q6PA06,Atlastin-2,1.67E-02,4.99E-01
Atl3,ATLA3_MOUSE|Q91YH5,Atlastin-3,2.09E-01,3.40E-01
Atox1,ATOX1_MOUSE|O08997,Copper transport protein ATOX1,5.64E-01,1.15E-01
Atp5h,ATP5H_MOUSE|Q9DCX2,"ATP synthase subunit d, mitochondrial",8.06E-02,5.29E-01
Atp5i,ATP5I_MOUSE|Q06185,"ATP synthase subunit e, mitochondrial",3.43E-02,3.96E-01
Atp5j,ATP5J_MOUSE|P97450,"ATP synthase-coupling factor 6, mitochondrial",5.80E-02,3.85E-01
Atp5l,ATP5L_MOUSE|Q9CPQ8,"ATP synthase subunit g, mitochondrial",1.27E-01,4.32E-01
Atp5s,ATP5S_MOUSE|Q9CRA7,"ATP synthase subunit s, mitochondrial",2.95E-02,5.17E-01
Atp7a,ATP7A_MOUSE|Q64430,Copper-transporting ATPase 1,2.59E-04,9.47E-01
Mtatp8,ATP8_MOUSE|P03930,ATP synthase protein 8,1.27E-01,6.10E-01
Atp9a,ATP9A_MOUSE|O70228,Probable phospholipid-transporting ATPase IIA,1.23E-03,6.75E-01
Atp5a1,ATPA_MOUSE|Q03265,"ATP synthase subunit alpha, mitochondrial",1.76E-01,4.61E-01
Atp5b,ATPB_MOUSE|P56480,"ATP synthase subunit beta, mitochondrial",1.94E-01,3.37E-01
Atp5d,ATPD_MOUSE|Q9D3D9,"ATP synthase subunit delta, mitochondrial",1.30E-01,1.47E-01
Atpaf1,ATPF1_MOUSE|Q811I0,ATP synthase mitochondrial F1 complex assembly factor 1,3.29E-04,9.83E-01
Atp5c1,ATPG_MOUSE|Q91VR2,"ATP synthase subunit gamma, mitochondrial",7.10E-02,6.30E-01
Atp5j2,ATPK_MOUSE|P56135,"ATP synthase subunit f, mitochondrial",8.57E-02,4.06E-01
Atp5o,ATPO_MOUSE|Q9DB20,"ATP synthase subunit O, mitochondrial",1.59E-01,5.48E-01
Atrx,ATRX_MOUSE|Q61687,Transcriptional regulator ATRX,2.75E-03,9.95E-01
Atxn1,ATX1_MOUSE|P54254,Ataxin-1,1.91E-02,1.01E+00
Atxn10,ATX10_MOUSE|P28658,Ataxin-10,1.45E-02,5.71E-01
Atxn2,ATX2_MOUSE|O70305,Ataxin-2,5.00E-04,1.45E+00
Atxn2l,ATX2L_MOUSE|Q7TQH0,Ataxin-2-like protein,6.43E-04,1.52E+00
Atxn2l,ATX2L_MOUSE|Q7TQH0-2,Ataxin-2-like protein (isoform 2),9.34E-03,1.09E+00
Auh,AUHM_MOUSE|Q9JLZ3,"Methylglutaconyl-CoA hydratase, mitochondrial",2.66E-01,2.27E-01
Dnajc6,AUXI_MOUSE|Q80TZ3,Putative tyrosine-protein phosphatase auxilin,4.41E-04,1.21E+00
Avl9,AVL9_MOUSE|Q80U56,Late secretory pathway protein AVL9 homolog,2.02E-03,7.22E-01
Axin1,AXIN1_MOUSE|O35625,Axin-1,3.26E-03,1.15E+00
Gria3,B0QZW1_MOUSE|B0QZW1,Glutamate receptor 3,1.25E-03,7.96E-01
5031439G07Rik,B1APX2_MOUSE|B1APX2,Protein 5031439G07Rik,1.92E-01,2.96E-01
Srcin1,B1AQX6_MOUSE|B1AQX6,SRC kinase-signaling inhibitor 1,9.33E-04,1.37E+00
8-Sep,B1AQZ0_MOUSE|B1AQZ0,Septin-8,3.86E-02,4.29E-01
Eif2b3,B1AUN2_MOUSE|B1AUN2,MCG14442,1.93E-01,1.84E-01
Scn2a1,B1AWN6_MOUSE|B1AWN6,Protein Scn2a1,9.60E-04,1.06E+00
Hspg2,B1B0C7_MOUSE|B1B0C7,Basement membrane-specific heparan sulfate proteoglycan core protein,6.51E-01,2.63E-01
Bcl2l1,B2CL1_MOUSE|Q64373,Bcl-2-like protein 1,9.76E-02,3.65E-01
Bcl2l2,B2CL2_MOUSE|P70345,Bcl-2-like protein 2,5.87E-04,1.22E+00
